date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2014.10.17,"1,089,000","26,000","1,106,000","1,115,000","1,087,000","325,635",삼성전자
2014.10.16,"1,115,000","10,000","1,116,000","1,121,000","1,104,000","302,966",삼성전자
2014.10.15,"1,125,000","2,000","1,128,000","1,145,000","1,120,000","282,872",삼성전자
2014.10.14,"1,127,000","19,000","1,127,000","1,146,000","1,120,000","331,451",삼성전자
2014.10.13,"1,108,000","3,000","1,082,000","1,127,000","1,078,000","226,895",삼성전자
2014.10.10,"1,105,000","25,000","1,100,000","1,114,000","1,099,000","436,749",삼성전자
2014.10.08,"1,130,000","32,000","1,142,000","1,151,000","1,124,000","294,411",삼성전자
2014.10.07,"1,162,000","11,000","1,162,000","1,186,000","1,162,000","202,983",삼성전자
2014.10.06,"1,151,000","10,000","1,145,000","1,156,000","1,138,000","425,058",삼성전자
2014.10.02,"1,141,000","15,000","1,165,000","1,165,000","1,141,000","254,655",삼성전자
2014.10.01,"1,156,000","28,000","1,174,000","1,183,000","1,156,000","238,596",삼성전자
2014.09.30,"1,184,000","11,000","1,185,000","1,188,000","1,165,000","247,586",삼성전자
2014.09.29,"1,195,000","10,000","1,193,000","1,200,000","1,170,000","188,020",삼성전자
2014.09.26,"1,185,000","29,000","1,152,000","1,185,000","1,148,000","248,271",삼성전자
2014.09.25,"1,156,000","6,000","1,162,000","1,166,000","1,147,000","388,290",삼성전자
2014.09.24,"1,150,000","11,000","1,152,000","1,161,000","1,141,000","315,784",삼성전자
2014.09.23,"1,161,000","27,000","1,178,000","1,185,000","1,161,000","390,828",삼성전자
2014.09.22,"1,188,000","22,000","1,204,000","1,204,000","1,180,000","320,442",삼성전자
2014.09.19,"1,210,000",0,"1,223,000","1,223,000","1,206,000","268,701",삼성전자
2014.09.18,"1,210,000","16,000","1,230,000","1,230,000","1,204,000","189,535",삼성전자
2014.09.17,"1,226,000","20,000","1,207,000","1,226,000","1,207,000","150,915",삼성전자
2014.09.16,"1,206,000","6,000","1,208,000","1,215,000","1,201,000","141,848",삼성전자
2014.09.15,"1,200,000","1,000","1,207,000","1,208,000","1,196,000","143,230",삼성전자
2014.09.12,"1,201,000","9,000","1,200,000","1,208,000","1,200,000","217,447",삼성전자
2014.09.11,"1,192,000","9,000","1,200,000","1,207,000","1,192,000","466,184",삼성전자
2014.09.05,"1,201,000","9,000","1,215,000","1,216,000","1,195,000","215,408",삼성전자
2014.09.04,"1,210,000","21,000","1,210,000","1,216,000","1,202,000","241,999",삼성전자
2014.09.03,"1,189,000","5,000","1,200,000","1,200,000","1,180,000","424,775",삼성전자
2014.09.02,"1,194,000","32,000","1,221,000","1,225,000","1,194,000","317,992",삼성전자
2014.09.01,"1,226,000","8,000","1,236,000","1,237,000","1,224,000","113,281",삼성전자
2014.08.29,"1,234,000","8,000","1,238,000","1,238,000","1,228,000","291,165",삼성전자
2014.08.28,"1,242,000","12,000","1,258,000","1,258,000","1,236,000","206,237",삼성전자
2014.08.27,"1,230,000","8,000","1,223,000","1,237,000","1,222,000","243,420",삼성전자
2014.08.26,"1,222,000","6,000","1,235,000","1,235,000","1,221,000","214,389",삼성전자
2014.08.25,"1,228,000","19,000","1,231,000","1,231,000","1,221,000","231,544",삼성전자
2014.08.22,"1,247,000","12,000","1,245,000","1,247,000","1,235,000","168,153",삼성전자
2014.08.21,"1,235,000","26,000","1,255,000","1,261,000","1,231,000","342,108",삼성전자
2014.08.20,"1,261,000","7,000","1,264,000","1,271,000","1,251,000","188,612",삼성전자
2014.08.19,"1,254,000","4,000","1,264,000","1,273,000","1,253,000","200,888",삼성전자
2014.08.18,"1,250,000","11,000","1,279,000","1,280,000","1,250,000","210,379",삼성전자
2014.08.14,"1,261,000","3,000","1,274,000","1,282,000","1,254,000","208,947",삼성전자
