date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume
2022.07.27,"94,300",700,"93,800","94,500","93,200","330,196"
2022.07.26,"93,600",300,"93,500","94,700","93,300","417,522"
2022.07.25,"93,900",400,"93,100","94,700","93,000","351,528"
2022.07.22,"93,500",700,"93,800","94,700","93,500","363,025"
2022.07.21,"94,200",100,"94,100","94,400","93,000","444,578"
2022.07.20,"94,100","1,200","95,200","95,300","93,300","643,294"
2022.07.19,"92,900",400,"91,700","93,000","91,400","410,666"
2022.07.18,"92,500","1,600","92,500","94,400","92,000","847,838"
2022.07.15,"90,900",700,"90,900","91,500","89,100","604,053"
2022.07.14,"90,200",900,"90,600","91,000","89,500","658,582"
2022.07.13,"91,100",700,"89,900","92,300","89,900","676,772"
2022.07.12,"90,400",900,"90,700","90,900","89,100","654,534"
2022.07.11,"91,300",700,"91,500","92,700","91,000","710,884"
2022.07.08,"92,000","3,900","96,300","98,300","91,800","1,494,419"
2022.07.07,"95,900","2,800","94,000","96,400","93,500","1,090,036"
2022.07.06,"93,100","2,400","94,700","95,100","92,800","1,023,511"
2022.07.05,"95,500","5,300","91,000","96,000","90,700","1,348,997"
2022.07.04,"90,200",300,"90,800","91,000","88,600","701,722"
2022.07.01,"89,900","1,600","89,000","92,900","88,800","1,390,290"
2022.06.30,"88,300","2,400","90,900","90,900","88,300","790,624"
2022.06.29,"90,700","1,700","88,000","91,800","87,400","873,866"
2022.06.28,"89,000",700,"89,100","90,100","87,800","727,402"
2022.06.27,"89,700",700,"90,200","91,000","89,000","842,826"
2022.06.24,"89,000",700,"88,300","90,000","88,300","877,028"
2022.06.23,"88,300","1,100","86,800","89,800","85,600","1,418,259"
2022.06.22,"87,200","3,800","91,400","91,500","87,100","1,196,070"
2022.06.21,"91,000",800,"90,300","91,400","90,000","516,032"
2022.06.20,"90,200","3,000","93,400","93,500","89,300","919,626"
2022.06.17,"93,200","1,200","92,800","93,700","92,000","827,209"
2022.06.16,"94,400","1,200","94,700","97,600","93,800","860,556"
2022.06.15,"93,200","2,100","94,500","95,500","92,500","829,525"
2022.06.14,"95,300",200,"92,800","96,300","92,700","1,012,058"
2022.06.13,"95,100","5,400","98,500","98,900","95,100","1,400,191"
2022.06.10,"100,500","2,000","101,000","102,000","100,000","595,867"
2022.06.09,"102,500",500,"102,000","102,500","101,000","929,702"
2022.06.08,"102,000",500,"102,000","103,000","101,500","568,572"
2022.06.07,"101,500","2,500","103,500","103,500","101,500","664,509"
2022.06.03,"104,000",0,"105,000","105,500","103,500","610,654"
2022.06.02,"104,000","1,000","104,000","104,000","102,000","660,479"
2022.05.31,"105,000","1,000","106,000","106,500","104,500","1,819,056"
2022.05.30,"106,000","2,500","105,000","106,000","104,500","623,975"
2022.05.27,"103,500","1,500","104,000","105,000","102,500","668,914"
2022.05.26,"102,000",500,"103,000","104,000","101,000","677,212"
2022.05.25,"102,500",0,"103,000","103,500","101,500","504,358"
2022.05.24,"102,500","2,500","105,000","105,000","102,000","722,885"
2022.05.23,"105,000",500,"105,000","106,500","103,500","688,569"
2022.05.20,"104,500","3,000","102,000","105,500","101,000","1,205,007"
2022.05.19,"101,500","5,500","104,000","104,500","101,000","1,986,525"
2022.05.18,"107,000",500,"108,500","109,500","106,500","838,409"
2022.05.17,"107,500",0,"107,500","108,500","106,000","846,435"
2022.05.16,"107,500",0,"109,000","109,500","107,000","458,454"
2022.05.13,"107,500","1,500","106,500","108,500","106,500","705,097"
2022.05.12,"106,000","3,000","108,000","109,500","105,500","1,191,168"
2022.05.11,"109,000","2,500","111,000","111,500","108,000","1,267,614"
2022.05.10,"111,500","1,500","111,000","112,500","109,500","809,529"
2022.05.09,"113,000","2,000","115,000","115,500","112,500","717,315"
2022.05.06,"115,000",500,"114,000","116,000","114,000","471,521"
2022.05.04,"115,500",0,"116,000","117,000","115,000","532,967"
2022.05.03,"115,500","1,000","117,000","117,500","115,500","618,090"
2022.05.02,"116,500",0,"115,000","116,500","114,500","513,571"
2022.04.29,"116,500","4,000","120,000","120,500","115,500","1,980,893"
2022.04.28,"120,500","1,000","120,500","120,500","119,000","594,286"
2022.04.27,"119,500","2,000","118,000","120,500","118,000","595,523"
2022.04.26,"121,500","2,500","120,000","122,000","119,500","700,343"
2022.04.25,"119,000","4,000","120,500","121,500","119,000","979,122"
2022.04.22,"123,000","2,000","123,000","124,000","122,000","576,346"
2022.04.21,"125,000","1,500","124,000","126,000","123,500","685,827"
2022.04.20,"123,500","1,000","125,000","125,000","122,000","930,835"
2022.04.19,"124,500",0,"125,500","128,000","124,000","710,036"
2022.04.18,"124,500","2,000","125,000","126,000","123,500","627,153"
2022.04.15,"126,500",500,"125,500","128,500","124,500","1,101,269"
2022.04.14,"126,000","1,000","128,000","129,000","125,500","1,540,317"
2022.04.13,"127,000","4,500","123,500","127,000","123,500","1,618,670"
2022.04.12,"122,500","2,500","123,000","125,500","121,500","1,383,096"
2022.04.11,"125,000","3,000","124,500","126,500","123,000","2,333,625"
2022.04.08,"122,000","7,500","116,500","123,000","116,000","3,064,268"
2022.04.07,"114,500",500,"113,000","116,500","112,500","1,626,623"
2022.04.06,"114,000","3,500","116,500","117,500","114,000","1,301,974"
2022.04.05,"117,500",500,"118,500","119,000","117,000","635,707"
2022.04.04,"117,000",500,"117,500","118,000","116,000","714,473"
2022.04.01,"117,500","3,000","119,500","120,000","117,000","1,358,388"
2022.03.31,"120,500",500,"120,500","121,500","120,000","687,529"
2022.03.30,"121,000","1,000","121,000","123,000","120,500","750,649"
2022.03.29,"120,000",0,"121,500","121,500","119,500","601,558"
2022.03.28,"120,000",500,"120,000","121,000","119,000","477,494"
2022.03.25,"120,500",500,"122,000","122,500","119,500","629,103"
2022.03.24,"121,000","2,000","122,000","122,500","120,000","742,512"
2022.03.23,"123,000","1,000","124,500","125,000","122,500","755,327"
2022.03.22,"124,000","1,000","122,500","124,500","122,000","628,292"
2022.03.21,"123,000",500,"124,000","124,500","122,000","578,097"
2022.03.18,"123,500","2,500","126,500","126,500","123,500","959,017"
2022.03.17,"126,000","1,000","126,000","127,000","125,000","1,038,478"
2022.03.16,"125,000","2,000","124,500","125,000","121,500","805,188"
2022.03.15,"123,000","1,000","121,500","124,500","121,000","754,807"
